month,year,Month Year,gross_sales (Mln)
September,2019,Sep-2019,9.09
October,2019,Oct-2019,10.38
November,2019,Nov-2019,15.23
December,2019,Dec-2019,9.76
January,2020,Jan-2020,9.58
February,2020,Feb-2020,8.08
March,2020,Mar-2020,0.77
April,2020,Apr-2020,0.8
May,2020,May-2020,1.59
June,2020,Jun-2020,3.43
July,2020,Jul-2020,5.15
August,2020,Aug-2020,5.64
September,2020,Sep-2020,19.53
October,2020,Oct-2020,21.02
November,2020,Nov-2020,32.25
December,2020,Dec-2020,20.41
January,2021,Jan-2021,19.57
February,2021,Feb-2021,15.99
March,2021,Mar-2021,19.15
April,2021,Apr-2021,11.48
May,2021,May-2021,19.2
June,2021,Jun-2021,15.46
July,2021,Jul-2021,19.04
August,2021,Aug-2021,11.32
